r,r,l,l,ɫ,ɫ,l & r,l & r,"Adv l & r ",Adv l & r,j,j,w,w
race,,lack,,bold,,arrive,,"relax",,yolk,/joʊk/,work,/wɝːk/
rack,,lady,,all,,alive,,"reply",,your,/jʊr/,world,/wɝːld/
raft,,lag,,sold,,broom,,"rifle",,yard,/jɑːrd/,week,/wiːk/
rag,,laid,,gold,,bloom,,"truly",,yarn,/jɑːrn/,wave,/weɪv/
rail,,lair,,fold,,brush,,"rattle",,yesterday,/ˈjes.tɚ.deɪ/,whale,/weɪl/
rain,,lake,,bowl,,blush,,"really",,canyon,/ˈkæn.jən/,between,/bɪˈtwiːn/
rake,,lamb,,pull,,crime,,"relief",,yell,/jel/,away,/əˈweɪ/
ram,,lame,,vault,,climb,,"drizzle",,young,/jʌŋ/,weak,/wiːk/
ran,,lamp,,told,,crowd,,"laundry",,yogurt,/ˈjoʊ.ɡɚt/,wait,/weɪt/
rang,,land,,goal,,cloud,,"problem",,yourself,/jɚˈself/,twist,/twɪst/
rank,,lane,,bull,,crown,,"rapidly",,lawyer,/ˈlɔɪ.jɚ/,swear,/swer/
rap,,lap,,salt,,clown,,"realize",,yet,/jet/,wool,/wʊl/
rash,,last,,ball,,correct,,"relieve",,backyard,/ˌbækˈjɑːrd/,wire,/waɪr/
rat,,late,,cool,,collect,,"replace",,yes,/jes/,sweep,/swiːp/
rate,,law,,pool,,frame,,"trouble",,youth,/juːθ/,waist,/weɪst/
raw,,lawn,,salad,,flame,,"wrestle",,yellow,/ˈjel.oʊ/,switch,/swɪtʃ/
ray,,lay,,health,,free,,"bracelet",,year,/jɪr/,wax,/wæks/
read,,lazy,,adult,,flea,,"electric",,you,/juː/,swim,/swɪm/
real,,lead,,bill,,fresh,,"probable",,beyond,/biˈjɑːnd/,win,/wɪn/
reap,,leaf,,color,,flesh,,"probably",,Youtube,/ˈjuː.tuːb/,twin,/twɪn/
red,,leak,,fail,,fry,,"relation",,value,/ˈvæl.juː/,quart,/kwɔːrt/
rent,,blog,,college,,fly,,"reliable",,million,/ˈmɪl.jən/,frequent,/ˈfriː.kwənt/
rest,,blow,,gallon,,grass,,"religion",,huge,/hjuːdʒ/,query,/ˈkwɪr.i/
crab,,blue,,email,,glass,,"republic",,computer,/kəmˈpjuː.t̬ɚ/,liquid,/ˈlɪk.wɪd/
crew,,clam,,cereal,,grow,,"slippery",,union,/ˈjuː.njən/,square,/skwer/
crop,,clap,,feel,,glow,,"sprinkle",,junior,/ˈdʒuː.njɚ/,question,/ˈkwes.tʃən/
crow,,claw,,bulb,,grew,,"struggle",,opinion,/əˈpɪn.jən/,quite,/kwaɪt/
cry,,clay,,build,,glue,,"triangle",,human,/ˈhjuː.mən/,queen,/kwiːn/
drag,,clip,,belt,,race,,"tricycle",,community,/kəˈmjuː.nə.t̬i/,language,/ˈlæŋ.ɡwɪdʒ/
draw,,club,,deal,,lace,,"agreeable",,cute,/kjuːt/,quit,/kwɪt/
drip,,flag,,place,,,,"classroom",,humor,/ˈhjuː.mɚ/,equation,/ɪˈkweɪ.ʒən/
drop,,flap,,leaf,,,,"gradually",,onion,/ˈʌn.jən/,quick,/kwɪk/
drum,,flat,,look,,,,"curriculum",,curious,/ˈkjʊr.i.əs/,squint,/skwɪnt/
dry,,flee,,lady,,,,"electronic",,menu,/ˈmen.juː/,quality,/ˈkwɑː.lə.t̬i/
free,,flip,,black,,,,"playground",,uniform,/ˈjuː.nə.fɔːrm/,equal,/ˈiː.kwəl/
frog,,flop,,old,,,,"republican",,music,/ˈmjuː.zɪk/,quote,/kwoʊt/
from,,flow,,wall,,,,"resolution",,unit,/ˈjuː.nɪt/,jaguar,/ˈdʒæɡ.wɑːr/
fry,,fly,,police,,,,"unfriendly",,view,/vjuː/,squeeze,/skwiːz/
grab,,glad,,flat,,,,"electricity",,usual,/ˈjuː.ʒu.əl/,squeak,/skwiːk/
gray,,glow,,golf,,,,"responsible ",,figure,/ˈfɪɡ.jɚ/,squat,/skwɑːt/
Greg,,glue,,golden,,,,,,yoink,/jɔɪŋk/,answer,/ˈæn.sɚ/
grew,,,,else,,,,,,,,awful,/ˈɑː.fəl/
grip,,,,small,,,,,,,,coward,/ˈkaʊ.ɚd/
,,,,tall,,,,,,,,flower,/ˈflaʊ.ɚ/
,,,,role,,,,,,,,jewel,/ˈdʒuː.əl/
,,,,model,,,,,,,,knowledge,/ˈnɑː.lɪdʒ/
,,,,class,,,,,,,,liquor,/ˈlɪk.ɚ/
,,,,hall,,,,,,,,owl,/aʊl/
,,,,crawl,,,,,,,,power,/ˈpaʊ.ɚ/
,,,,wolf,,,,,,,,sword,/sɔːrd/
,,,,,,,,,,,,toward,/tɔːrd/ /twɔːrd/
,,,,,,,,,,,,towel,/taʊəl/
,,,,,,,,,,,,tower,/ˈtaʊ.ɚ/
,,,,,,,,,,,,vowel,"/vaʊəl/ "
,,,,,,,,,,,,wrap,/ræp/
,,,,,,,,,,,,wreck,/rek/
,,,,,,,,,,,,wrench,/rentʃ/
,,,,,,,,,,,,wring,/rɪŋ/
,,,,,,,,,,,,write,/raɪt/
,,,,,,,,,,,,wrong,/rɑːŋ/
