eɪ,eɪ,eɪ & ɛ,eɪ & ɛ,eɪ & æ,eɪ & æ,aɪ,aɪ,aʊ,aʊ,oʊ,oʊ,oʊ & ɔ,oʊ & ɔ,ɔɪ,ɔɪ
able,/ˈeɪbəl/,date,/ˈdeɪt/,bake,/ˈbeɪk/,eye,/ˈaɪ/,about,/əˈbaʊt/,blow,/ˈbloʊ/,boat,/ˈboʊt/,annoy,/əˈnɔɪ/
ace,/ˈeɪs/,debt,/ˈdɛt/,back,/ˈbæk/,ice,/ˈaɪs/,allow,/əˈlaʊ/,boast,/ˈboʊst/,bought,/ˈbɑːt/,appointment,/əˈpɔɪnt.mənt/
ache,/ˈeɪk/,fade,/ˈfeɪd/,baked,/ˈbeɪkt/,idea,/aɪˈdiːjə/,bow,/ˈbaʊ/,boat,/ˈboʊt/,bowl,/ˈboʊl/,avoid,/əˈvoɪd/
age,/ˈeɪʤ/,fed,/ˈfɛd/,backed,/ˈbækt/,iron,/aɪrn/,cloud,/ˈklaʊd/,bold,/ˈboʊld/,ball,/ˈbɑːl/,boil,/bɔɪl/ /ˈbɔjəl/
aid,/ˈeɪd/,fail,/ˈfeɪl/,base,/ˈbeɪs/,item,/ˈaɪtəm/,couch,/ˈkaʊtʃ/,bolt,/ˈboʊlt/,coal,/ˈkoʊl/,boy,/bɔɪ/
aim,/ˈeɪm/,fell,/ˈfɛl/,bass,/ˈbæs/,ivy,/ˈaɪvi/,cow,/ˈkaʊ/,bone,/ˈboʊn/,call,/ˈkɑːl/,broil,/brɔɪl/ /ˈbrɔjəl/
ate,/ˈeɪt/,gate,/ˈgeɪt/,cane,/ˈkeɪn/,arrive,/əˈraɪv/,crowd,/ˈkraʊd/,both,/ˈboʊθ/,coast,/ˈkoʊst/,choice,/tʃɔɪs/
babe,/ˈbeɪb/,get,/ˈgɛt/,can,/ˈkæn/,assign,/əˈsaɪn/,doubt,/ˈdaʊt/,bowl,/ˈboʊl/,cost,/ˈkɑːst/,coin,/kɔɪn/
bake,/ˈbeɪk/,hail,/ˈheɪl/,cape,/ˈkeɪp/,kind,/ˈkaɪnd/,eyebrow,/ˈaɪˌbraʊ/,broke,/ˈbroʊk/,coat,/ˈkoʊt/,deploy,/dɪˈplɔɪ/
baked,/ˈbeɪkt/,hell,/ˈhɛl/,cap,/ˈkæp/,kite,/ˈkaɪt/,flower,/ˈflaʊ.ɚ/ /ˈflawɚ/,chose,"/ˈtʃoʊz/ ",caught,/ˈkɑːt/,employ,/ɪmˈplɔɪ/
base,/ˈbeɪs/,jail,/ˈʤeɪl/,faced,/ˌfeɪst/,knife,/ˈnaɪf/,house,/ˈhaʊs/,close,/ˈkloʊz/,cold,/ˈkoʊld/,employee,/ɪmˈplɔɪ.iː/
basis,/ˈbeɪsəs/,gel,/ˈʤɛl/,fast,/ˈfæst/,life,/ˈlaɪf/,how,/ˈhaʊ/,clothes,/ˈkloʊz/,called,/ˈkɑːld/,enjoy,/ɪnˈdʒɔɪ/
bathe,/ˈbeɪð/,lace,/ˈleɪs/,faked,/ˈfeɪkt/,light,/ˈlaɪt/,loud,/ˈlaʊd/,coach,/ˈkoʊtʃ/,goal,/ˈgoʊl/,join,/dʒɔɪn/
bay,/ˈbeɪ/,less,/ˈlɛs/,fact,/ˈfækt/,might,/ˈmaɪt/,mouse,/ˈmaʊs/,coal,/ˈkoʊl/,gall,/ˈgɑːl/,joy,/dʒɔɪ/
behave,/bɪˈheɪv/,laid,/ˈleɪd/,hate,/ˈheɪt/,mind,/ˈmaɪnd/,mouth,/ˈmaʊθ/,coast,/ˈkoʊst/,hole,/ˈhoʊl/,lawyer,/ˈlɔɪ.jɚ/ /ˈlɔjɚ/
beige,/ˈbeɪʒ/,led,"/ˈlɛd/ ",hat,/ˈhæt/,nice,/ˈnaɪs/,now,/ˈnaʊ/,coat,/ˈkoʊt/,hall,/ˈhɑːl/,loyal,/ˈlɔɪ.əl/ /ˈlɔjəl/
blade,/ˈbleɪd/,late,/ˈleɪt/,lake,/ˈleɪk/,nine,/ˈnaɪn/,powder,/ˈpaʊdɚ/,cold,/ˈkoʊld/,loan,/ˈloʊn/,moist,/mɔɪst/
blame,/ˈbleɪm/,let,/ˈlɛt/,lack,/ˈlæk/,pilot,/ˈpaɪlət/,shout,/ˈʃaʊt/,colt,/ˈkoʊlt/,lawn,/ ˈlɑːn /,noise,/nɔɪz/
blaze,/ˈbleɪz/,main,/ˈmeɪn/,lame,/ˈleɪm/,polite,/pəˈlaɪt/,south,/ˈsaʊθ/,comb,/ˈkoʊm/,low,/ˈloʊ/,oyster,/ˈɔɪ.stɚ/
