ɪr,ɪr,er(ɛr),er(ɛr),ɝ,ɝ,ɚ,ɚ,ɔr,ɔr,ɑr,ɑr,aɪr,aɪr,Advanced,Advanced
appear,/əˈpɪr/,air,/er/,bird,/bɝːd/,answer,/ˈæn.sɚ/,absorb,/əbˈzɔːrb/,alarm,/əˈlɑːrm/,entire,/ɪnˈtaɪr,afterward,/ˈæf.tɚ.wɚd/
beard,/ˈbɪrd/,airplane," /ˈer.pleɪn/",burst,/bɝːst/,author,/ˈɑː.θɚ/,adore,/əˈdɔːr/,apartment,/əˈpɑːrt.mənt/,tired,/taɪrd/,airport,/ˈɛr.pɔːrt/
beer,/ˈbɪr/,America,/əˈmer.ɪ.kə/,clerk,/klɝːk/,better,/ˈbet̬.ɚ/,airport,/ˈɛr.pɔːrt/,are,/ɑːr/,hire,/haɪr/,armchair,/ˈɑːrm.tʃɛr/
career,/kəˈrɪr/,anywhere,/ˈen.i.wer/,curl,/kɝːl/,border,/ˈboɚdɚ/,before,/bɪˈfɔːr/,army,/ˈɑːr.mi/,wire,/waɪr/,artwork,/ˈɑːrt.wɝːk/
cashier,/kæʃˈɪr/,area,/ˈer.i.ə/,curve,/kɝːv/,butter,/ˈbʌt̬.ɚ/,board,/bɔːrd/,art,/ɑːrt/,tire,/taɪr/,cardboard,/ˈkɑːrd.bɔːrd/
cereal,/ˈsɪr.i.əl/,arrow,/ˈer.oʊ/,dirt,/dɝːt/,cellar,/ˈsɛlɚ/,born,/bɔːrn/,article,/ˈɑːr.t̬ɪ.kəl/,desire,/dɪˈzaɪr/,caretaker,/ˈkɛrˌteɪ.kɚ/
cheer,/tʃɪr/,aware,/əˈwer/,earth,/ɝːθ/,center,/ˈsɛntɚ/,cord,/kɔːrd/,bar,/bɑːr/,require,/rɪˈkwaɪr/,cheerleader,/ˈtʃɪrˌliː.dɚ/
clear,/klɪr/,bear,/ber/,firm,/fɝːm/,clever,/ˈklɛvɚ/,corn,/kɔːrn/,bark,/bɑːrk/,admire,/ədˈmaɪr/,churchyard,/ˈtʃɝːtʃ.jɑːrd/
dear,/dɪr/,berry,/ˈber.i/,fur,/fɝː/,collar,/ˈkɑːlɚ/,course,/kɔːrs/,barn,/bɑːrn/,retire,/rɪˈtaɪr/,corridor,/ˈkɔːr.ə.dɚ/
disappear,/ˌdɪs.əˈpɪr/,care,/ker/,heard,/hɝːd/,dinner,/ˈdɪnɚ/,door,/dɔːr/,car,/kɑːr/,inspired,/ɪnˈspaɪrd/,coworker,/ˌkoʊˈwɝː.kɚ/
ear,/ɪr/,carry,/ˈker.i/,learn,/lɝːn/,doctor,/ˈdɑːktɚ/,dwarf,/dwɔːrf/,card,/kɑːrd/,acquire,/əˈkwaɪɚ/,former,/ˈfɔːr.mɚ/
experience,/ɪkˈspɪr.i.əns/,chair,/tʃer/,nurse,/nɝːs/,eager,/ˈiːgɚ/,floor,/flɔːr/,carpet,/ˈkɑːr.pət/,inspire,/ɪnˈspaɪr/,narrator,/ˈnɛr.eɪ.t̬ɚ/
fear,/fɪr/,character,/ˈker.ək.tɚ/,pearl,/pɝːl,editor,/ˈed.ɪ.t̬ɚ/,for,/fɔːr/,cart,/kɑːrt/,expire,/ɪkˈspaɪr/,northward,/ˈnɔːrθ.wɚd/
fierce,/fɪrs/,cherry,/ˈtʃer.i/,purse,/pɝːs/,error,/ˈerɚ/,force,/fɔːrs/,charge,/tʃɑːrdʒ/,fireplace,/ˈfaɪr.pleɪs/,porter,/ˈpɔːr.t̬ɚ/
gear,/ɡɪr/,compare," /kəmˈper/",serve,/sɝːv/,favor,/ˈfeɪvɚ/,forehead,/ˈfɔːrˌhɛd/,charm,/tʃɑːrm/,requirement,/rɪˈkwaɪr.mənt/,supermarket,/ˈsuː.pɚˌmɑːr.kɪt/
hear,/hɪr/,dairy,/ˈder.i/,shirt,/ʃɝːt/,figure,/ˈfɪgjɚ/,foreign,/ˈfɔːr.ən/,dark,/dɑːrk/,squire,/skwaɪr/,supernatural,/ˌsuː.pɚˈnætʃ.ɚ.əl/
