Most Common P1,Most Common P1,Most Common P2,Most Common P2,Winter Holiday,Winter Holiday,Halloween,Halloween,Brands,Brands,Homophones,Homophones,50 States Names,50 States Names,Challenge,Challenge,Writing,Writing
the,/ðiː/ /ðə/,world,/wɝːld/,winter,/ˈwɪn.t̬ɚ/,black magic,/ˌblæk ˈmædʒ.ɪk/,Acura,/'æk.jɚ.ə/,eye,/aɪ/,Alabama,/ˌæl.əˈbæm.ə/,people,/ˈpiːpəl/,inadvertently,/ˌɪn.ədˈvɝː.t̬ənt.li/
be,/biː/,school,/skuːl/,season,/ˈsiː.zən/,bogeyman,/ˈboʊ.ɡi.mæn/,Audi,/'aʊ.di/,"I ",/aɪ/,Alaska,/əˈlæs.kə/,necessary,/ˈnɛsəˌseri/,simultaneously,/ˌsaɪ.məlˈteɪ.ni.əs.li/
and,/ænd/ /ənd/ /ən/,still,/stɪl/,calendar,/ˈkæl.ən.dɚ/,cackle,/ˈkæk.əl/,BMW,/'bi.em'dʌb.ə.joʊ/,hour,/aʊr/,Arizona,/ˌer.ɪˈzoʊ.nə/,obvious,/ˈɑːbvijəs/,,
of,/ɑːv/ /əv/,try,/traɪ/,December,/dɪˈsem.bɚ/,cemetery,/ˈsem.ə.ter.i/,Buick,/'bju.ɪk/,"our ",/aʊr/,Arkansas,/ˈɑːr.kən.sɑː/,family,/ˈfæmli/,,
a,/eɪ/,in,/ɪn/,January,/ˈdʒæn.ju.er.i/,creepy,/ˈkriː.pi/,Cadillac,"/'kæd.ə,læk/",buy,/baɪ/,California,/ˌkæl.əˈfɔːr.njə/,really,/ˈriːjəli/,,
have,/hæv/ /həv/ /əv/,as,/æz/ /əz/,February,/ˈfeb.ruː.er.i/,curse,/kɝːs/,Chevrolet,"/,ʃev.rə'leɪ/",by,/baɪ/,Colorado,/ˌkɑː.ləˈrɑː.doʊ/,usually,/ˈjuːʒəwəli/,,
to,/tuː/ /tu/ /tə/ /t̬ə/,last,/læst/,snow,/snoʊ/,dead,/ded/,Chrysler,/‘kraɪs.lɚ/,bye,/baɪ/,Connecticut,/kəˈnet̬.ɪ.kət/,hint,/ˈhɪnt/,,
it,/ɪt/,ask,/æsk/,snowball,/ˈsnoʊ.bɑːl/,terror,/ˈter.ɚ/,Dodge,/dɑdʒ/,be,/biː/,Delaware,/ˈdel.ə.wer/,kid,/ˈkɪd/,,
I,/aɪ/,need,/niːd/,snowflake,/ˈsnoʊ.fleɪk/,dreadful,/ˈdred.fəl/,Ford,/fɔːrd/,"bee ",/biː/,Florida,/ˈflɔːr.ɪ.də/,begin,/bɪˈgɪn/,,
for,/fɔːr/ /fɚ/,too,/tuː/,snowman,/ˈsnoʊ.mæn/,eerie,/ˈɪr.i/,GMC,"/,dʒi.em'si/",blew,/bluː/,Georgia,/ˈdʒɔːr.dʒə/,dismiss,/dɪsˈmɪs/,,
